DersKodu;DersAdi;DersiVeren;DersUzunluk;AKTS;OgrSayisi;AcildigiProgram;Donem
YDY-102-50-50-AKTS;Yabancý Dil II;Öðr.Gör.Dr. Meryem ODABAÞI;2;1;161;Ýnþaat Mühendisliði Programý;2
INM-106-50-50-AKTS;Bilgisayar Destekli Teknik Resim;Dr. Öðr. Üyesi Ahmet ATALAY;3;4;47;Ýnþaat Mühendisliði Programý;2
FIZ-102-50-50-AKTS;Fizik II;Doç.Dr. Esra KAVAZ;5;6;89;Ýnþaat Mühendisliði Programý;2
INM-104-50-50-AKTS;Ýnþaat Mühendisleri Ýçin Jeoloji;Dr. Öðr. Üyesi Zeynep Neþe KURT ALBAYRAK;3;4;76;Ýnþaat Mühendisliði Programý;2
MAT-102-50-50-AKTS;Matematik II;Prof.Dr. Ömer TARAKCI;4;6;66;Ýnþaat Mühendisliði Programý;2
INM-102-50-50-AKTS;Statik;Prof.Dr. Mehmet Hamit ÖZYAZICIOÐLU;3;5;53;Ýnþaat Mühendisliði Programý;2
INM-108-50-50-AKTS;Yapý Bilgisi;Prof.Dr. Remzi ÞAHÝN;3;4;99;Ýnþaat Mühendisliði Programý;2
TDE-202-50-50-AKTS;Türk Dili II;Öðr.Gör.Dr. Dilek AKAN BUDAK;2;1;165;Ýnþaat Mühendisliði Programý;4
INM-210-50-50-AKTS;Yapý Malzemeleri;Prof.Dr. Ahmet Ferhat BÝNGÖL;4;4;106;Ýnþaat Mühendisliði Programý;4
INM-206-50-50-AKTSa;Akýþkanlar Mekaniði;Dr. Öðr. Üyesi Selim ÞENGÜL;3;5;58;Ýnþaat Mühendisliði Programý;4
INM-208-50-50-AKTS;Mukavemet II;Doç.Dr. Fatih Mehmet ÖZKAL;3;4;102;Ýnþaat Mühendisliði Programý;4
INM-202-50-50-AKTS;Mühendislik Matemetiði;Doç.Dr. Çaðlar ÖZER;3;4;103;Ýnþaat Mühendisliði Programý;4
MUH-SAY-50-50-AKTS;Sayýsal Yöntemler;Dr. Öðr. Üyesi Fatma KARAGÖL;3;4;47;Ýnþaat Mühendisliði Programý;4
INM-204-50-50-AKTS;Topoðrafya;Doç.Dr. Mahmut KILIÇ;3;4;42;Ýnþaat Mühendisliði Programý;4
AIT-302-50-50-AKTS;Atatürk Ýlkeleri ve Ýnkýlap Tarihi II;Prof.Dr. Tolga BAÞAK;2;1;90;Ýnþaat Mühendisliði Programý;6
INM-302-50-50-AKTS;Yapý Statiði II;Doç.Dr. Oðuz Akýn DÜZGÜN;3;5;46;Ýnþaat Mühendisliði Programý;6
INM-304-50-50-AKTS;Zemin Mekaniði II;Doç.Dr. Semet ÇELÝK;3;5;51;Ýnþaat Mühendisliði Programý;6
INM-306-50-50-AKTS;Demiryolu ve Toprak Ýþleri;Doç.Dr. Osman Ünsal BAYRAK;4;5;46;Ýnþaat Mühendisliði Programý;6
INM-308-50-50-AKTS;Betonarme I;Doç.Dr. Ahmet BUDAK;3;5;86;Ýnþaat Mühendisliði Programý;6
INM-312-50-50-AKTS;Temel Ýnþaatý;Prof.Dr. Ahmet Þahin ZAÝMOÐLU;3;5;64;Ýnþaat Mühendisliði Programý;6
INM-314-50-50 (2018 ve Üzeri);Yapý Ýþletme ve Þantiye Tekniði;Doç.Dr. Rýza POLAT;3;4;41;Ýnþaat Mühendisliði Programý;6
MUH-UME (Sadece UME'ye Gidecek Öðr. Alacak);Uygulamalý Mühendislik Eðitimi;Doç.Dr. Osman Ünsal BAYRAK;38;30;57;Ýnþaat Mühendisliði Programý;8
INM-404-50-50-AKTS;Bitirme Projesi II;Doç.Dr. Meral OLTULU;2;2;38;Ýnþaat Mühendisliði Programý;8
INM-408-50-50-AKTS;Ýnþaat Mühendisliði Laboratuvarý II;Dr. Öðr. Üyesi Gökhan KAPLAN;2;3;38;Ýnþaat Mühendisliði Programý;8
INM-410-50-50 (2018 ve Üzeri);Ýnþaat Mühendisliði Uygulamalarý;Doç.Dr. Ahmet BUDAK;6;8;24;Ýnþaat Mühendisliði Programý;8
INS-404-50-50 (2018 ve Üzeri);Ýnþaat Mühendisliði Seçmeli Tasarým II;Prof.Dr. Mahir GÖKDAÐ;4;6;24;Ýnþaat Mühendisliði Programý;8
FIZ-102-50-50-AKTS;Fizik II;Prof.Dr. Yakup KURUCU;5;6;66;Ýnþaat Mühendisliði (Ý.Ö.) Programý;2
INM 102-50-50-AKTS;Statik;Prof.Dr. Mehmet Hamit ÖZYAZICIOÐLU;3;5;10;Ýnþaat Mühendisliði (Ý.Ö.) Programý;2
INM-108-50-50-AKTS;Yapý Bilgisi;Prof.Dr. Remzi ÞAHÝN;3;4;24;Ýnþaat Mühendisliði (Ý.Ö.) Programý;2
INM-104-50-50-AKTS;Ýnþaat Mühendisleri Ýçin Jeoloji;Dr. Öðr. Üyesi Zeynep Neþe KURT ALBAYRAK;3;4;15;Ýnþaat Mühendisliði (Ý.Ö.) Programý;2
INM-106-50-50-AKTS;Bilgisayar Destekli Teknik Resim;Dr. Öðr. Üyesi Ahmet ATALAY;3;4;27;Ýnþaat Mühendisliði (Ý.Ö.) Programý;2
