DerslikAdi;KapasiteKisi;Birim_Adi
D1;72;Mühendislik Fakültesi
D1;72;Mühendislik Fakültesi
D6;81;Mühendislik Fakültesi
D7;48;Mühendislik Fakültesi
D8;72;Mühendislik Fakültesi
D9;24;Mühendislik Fakültesi
D11;81;Mühendislik Fakültesi
D12;81;Mühendislik Fakültesi
D13;81;Mühendislik Fakültesi
D19;54;Mühendislik Fakültesi
D20;54;Mühendislik Fakültesi
D21;54;Mühendislik Fakültesi
D1;72;Mühendislik Fakültesi
D6;81;Mühendislik Fakültesi
D7;48;Mühendislik Fakültesi
D8;72;Mühendislik Fakültesi
D9;24;Mühendislik Fakültesi
D11;81;Mühendislik Fakültesi
D12;81;Mühendislik Fakültesi
D13;81;Mühendislik Fakültesi
D6;81;Mühendislik Fakültesi
D7;48;Mühendislik Fakültesi
D8;72;Mühendislik Fakültesi
D9;24;Mühendislik Fakültesi
D11;81;Mühendislik Fakültesi
D12;81;Mühendislik Fakültesi
D13;81;Mühendislik Fakültesi
D19;54;Mühendislik Fakültesi
D20;54;Mühendislik Fakültesi
D21;54;Mühendislik Fakültesi
D12;81;Mühendislik Fakültesi
D13;81;Mühendislik Fakültesi
E1;72;Mühendislik Fakültesi
E2;72;Mühendislik Fakültesi
E3;72;Mühendislik Fakültesi
E4;81;Mühendislik Fakültesi
E6;72;Mühendislik Fakültesi
E7;72;Mühendislik Fakültesi
E8;72;Mühendislik Fakültesi
E9;72;Mühendislik Fakültesi
E10;72;Mühendislik Fakültesi
D1;72;Mühendislik Fakültesi
D7;48;Mühendislik Fakültesi
E1;72;Mühendislik Fakültesi
E2;72;Mühendislik Fakültesi
E3;72;Mühendislik Fakültesi
D1;72;Mühendislik Fakültesi
E4;81;Mühendislik Fakültesi
E5;81;Mühendislik Fakültesi
D6;81;Mühendislik Fakültesi
E6;72;Mühendislik Fakültesi
D7;48;Mühendislik Fakültesi
D8;72;Mühendislik Fakültesi
E8;72;Mühendislik Fakültesi
E9;72;Mühendislik Fakültesi
E10;72;Mühendislik Fakültesi
D11;81;Mühendislik Fakültesi
D12;81;Mühendislik Fakültesi
D13;81;Mühendislik Fakültesi
E1;72;Mühendislik Fakültesi
E2;72;Mühendislik Fakültesi
E3;72;Mühendislik Fakültesi
E4;81;Mühendislik Fakültesi
E5;81;Mühendislik Fakültesi
D1;64;Mühendislik Fakültesi
E6;72;Mühendislik Fakültesi
E7;72;Mühendislik Fakültesi
D6;81;Mühendislik Fakültesi
E8;72;Mühendislik Fakültesi
D7;60;Mühendislik Fakültesi
E9;72;Mühendislik Fakültesi
E10;72;Mühendislik Fakültesi
D8;72;Mühendislik Fakültesi
D9;35;Mühendislik Fakültesi
D11;81;Mühendislik Fakültesi
E1;72;Mühendislik Fakültesi
E2;72;Mühendislik Fakültesi
E3;72;Mühendislik Fakültesi
E4;81;Mühendislik Fakültesi
E5;81;Mühendislik Fakültesi
E6;72;Mühendislik Fakültesi
E7;72;Mühendislik Fakültesi
E8;72;Mühendislik Fakültesi
E9;72;Mühendislik Fakültesi
E10;72;Mühendislik Fakültesi
TRS1;56;Mühendislik Fakültesi
D19;60;Mühendislik Fakültesi
D20;60;Mühendislik Fakültesi
D21;60;Mühendislik Fakültesi
TRS3;56;Mühendislik Fakültesi
E1;72;Mühendislik Fakültesi
E2;72;Mühendislik Fakültesi
E3;72;Mühendislik Fakültesi
D1;72;Mühendislik Fakültesi
E4;81;Mühendislik Fakültesi
E5;81;Mühendislik Fakültesi
E7;72;Mühendislik Fakültesi
E8;72;Mühendislik Fakültesi
D6;81;Mühendislik Fakültesi
E9;72;Mühendislik Fakültesi
E10;72;Mühendislik Fakültesi
E1;72;Mühendislik Fakültesi
D7;48;Mühendislik Fakültesi
TRS3;56;Mühendislik Fakültesi
E2;72;Mühendislik Fakültesi
E3;72;Mühendislik Fakültesi
E4;81;Mühendislik Fakültesi
E5;81;Mühendislik Fakültesi
E6;72;Mühendislik Fakültesi
E7;72;Mühendislik Fakültesi
D14;108;Mühendislik Fakültesi
D15;108;Mühendislik Fakültesi
D16;144;Mühendislik Fakültesi
D17;108;Mühendislik Fakültesi
D20;60;Mühendislik Fakültesi
D21;60;Mühendislik Fakültesi
E8;72;Mühendislik Fakültesi
E9;72;Mühendislik Fakültesi
E10;72;Mühendislik Fakültesi
D8;72;Mühendislik Fakültesi
D9;24;Mühendislik Fakültesi
D11;81;Mühendislik Fakültesi
D12;81;Mühendislik Fakültesi
D13;81;Mühendislik Fakültesi
D19;54;Mühendislik Fakültesi
D20;54;Mühendislik Fakültesi
D1;72;Mühendislik Fakültesi
D21;54;Mühendislik Fakültesi
E1;72;Mühendislik Fakültesi
E2;72;Mühendislik Fakültesi
E3;72;Mühendislik Fakültesi
E4;81;Mühendislik Fakültesi
E5;81;Mühendislik Fakültesi
E6;72;Mühendislik Fakültesi
D6;81;Mühendislik Fakültesi
E7;72;Mühendislik Fakültesi
E8;72;Mühendislik Fakültesi
D7;48;Mühendislik Fakültesi
E9;72;Mühendislik Fakültesi
E10;72;Mühendislik Fakültesi
D8;72;Mühendislik Fakültesi
D9;12;Mühendislik Fakültesi
